Category,Coding,Medication_ATC_code,Drug_name
calcium carbonate+cholecalciferol 1.25g/5micrograms tablet,1140871052,A12AX,Cholecalciferol |Calcium Carbonate
ferrous salt product,1140888390,B03A,Iron
nabumetone,1140875336,M01AX01,Nabumetone
fludrocortisone,1140884672,H02AA02,Fludrocortisone
nasacort 55micrograms aqueous nasal spray,1141146508,R01AD11,Triamcinolone
leflunomide,1141166294,L04AA13,Leflunomide
plaquenil 200mg tablet,1140875392,P01BA02,Hydroxychloroquine
flomax mr 400micrograms m/r capsule,1140926940,G04CA02,Tamsulosin
lodine 200mg tablet,1140871196,M01AB08,Etodolac
rosiglitazone 1mg / metformin 500mg tablet,1141189090,A10BD03,Metformin |Rosiglitazone
femseven 50 patch,1140923738,G03CA03,Estradiol
loestrin 20 tablet,1140869324,G03AA05,Norethisterone |Ethinyl Estradiol
procyclidine,1140883476,N04AA04,Procyclidine
combivent inhaler,1140864734,R03AL02,Salbutamol
travoprost,1141185316,S01EE04,Travoprost
zanidip 10mg tablet,1141153032,C08CA13,Lercanidipine
hormonin tablet,1140868458,G03CA53,Estrone |Estradiol |Estriol
progynova 1mg tablet,1140868460,G03CA03,Estradiol
oilatum cream,1140878324,D02AC,Petrolatum |Light Mineral Oil
hydroxycarbamide,1141195044,L01XX05,Hydroxyurea
vitamin b1 preparation,1140909872,A11DA,Thiamine
minocycline,1140873480,A01AB23 |J01AA08,Minocycline
nuvelle tablet,1140868518,G03FB05,Levonorgestrel |Estradiol
liquifilm tears 1.4% eye drops,1140878186,S01XA20,Polyvinyl Alcohol
isotard 25xl m/r tablet,1141168108,C01DA14,Isosorbide Mononitrate
asacol mr 400mg e/c tablet,1141188658,A07EC02,Mesalazine
avandamet 1mg / 500mg tablet,1141189094,A10BD03,Metformin |Rosiglitazone
brinzolamide,1141176284,S01EC04,Brinzolamide
testogel 50mg gel 5g sachet,1141193272,G03BA03,Testosterone
zapain caplet,1141178052,N02AJ06,Acetaminophen |Codeine
proctosedyl ointment,1140881446,A07EA02,Cinchocaine |Hydrocortisone
amiloride,1140888512,C03DB01,Amiloride
cyclizine,1140868080,R06AE03,Cyclizine
logynon tablet,1140869176,G03AA07,Levonorgestrel |Ethinyl Estradiol
tetralysal 300 capsule,1140873476,J01AA04,Lymecycline
allergy relief antihistamine 4mg tablet,1141194224,R06AB04,Chlorphenamine
celebrex 200mg capsule,1141176670,M01AH01,Celecoxib
nicotine product,1140872492,N07BA01,Nicotine
prednisolone product,1141157402,A07EA01 |C05AA04 |D07AA03 |D07XA02 |H02AB06 |R01AD02 |S01BA04 |S01CB02 |S02BA03 |S03BA02,Prednisolone
climesse tablet,1140926430,G03FB05,Norethisterone |Estradiol
metronidazole,1140874014,A01AB17 |D06BX01 |G01AF01 |J01XD01 |P01AB01,Metronidazole
ventolin 2mg tablet,1140862060,R03CC02,Salbutamol
cialis 20mg tablet,1141187818,G04BE08,Tadalafil
arcoxia 60mg tablet,1141180148,M01AH05,Etoricoxib
flucloxacillin,1140872694,J01CF05,Flucloxacillin
rhinocort 50micrograms nasal spray,1140876146,R01AD05,Budesonide
ciprofloxacin,1140874138,J01MA02 |S01AE03 |S02AA15 |S03AA07,Ciprofloxacin
senna product,1141157178,A06AB06,Senna Glycoside
imdur 60mg durule,1140860976,C01DA14,Isosorbide Mononitrate
vitamin a,1140852756,A11CA01 |D10AD02 |S01XA02 |R01AX02,Vitamin A
phyllocontin continus 225mg m/r tablet,1140862266,R03DA05,Aminophylline
triamcinolone,1140868426,A01AC01 |C05AA12 |D07AB09 |D07XB02 |H02AB08 |R01AD11 |R03BA06 |S01BA05,Triamcinolone
terazosin,1140879798,G04CA03,Terazosin
half-inderal la 80mg m/r capsule,1140866800,C07AA05,Propranolol
cilest tablet,1140869346,G03AA11,Norgestimate |Ethinyl Estradiol
istin 5mg tablet,1140861202,C08CA01,Amlodipine
movelat gel,1140875632,M02AC,Salicylic Acid |Mucopolysaccharide Polysulfate
lorazepam,1140863302,N05BA06,Lorazepam
xatral 2.5mg tablet,1140864472,G04CA01,Alfuzosin
lisinopril+hydrochlorothiazide 10mg/12.5mg tablet,1140864952,C09BA03,Lisinopril |Hydrochlorothiazide
magnesium citrate,1140865872,A06AD19 |A12CC04 |B05CB03,Magnesium Citrate
premique cycle 10mg tablet,1140922806,G03FB06,Medroxyprogesterone Acetate |Estradiol
adipine mr 10 m/r tablet,1140923572,C08CA05,Nifedipine
chlorpromazine,1140879658,N05AA01,Chlorpromazine
piroxicam,1140871666,M01AC01 |M02AA07 |S01BC06,Piroxicam
coversyl 2mg tablet,1140860802,C09AA04,Perindopril
slozem 120mg m/r capsule,1140911698,C08DB01,Diltiazem
dothiepin,1140879628,N06AA16,Dosulepin
implanon 68mg subdermal implant,1141166200,G03AC08,Etonogestrel
paramax tablet,1140872036,N02BE51,Acetaminophen |Metoclopramide
progesterone product,1140868588,G03DA04,Progesterone
mucodyne 375mg capsule,1140862952,R05CB03,Carbocisteine
manevac granules,1140879392,A06AC51,Senna Glycoside |Plantago Seed
flu - influenza vaccine,1140910498,J07BB,Influenza Vaccine
angitil sr 90 m/r capsule,1140917428,C08DB01,Diltiazem
cymalon cranberry 1.5g/5ml liquid,1141200108,A12BA02,Potassium Citrate
cipramil 10mg tablet,1141151946,N06AB04,Citalopram
codeine phosphate+kaolin 10mg/3g/10ml mixture,1140865654,N02AA59,Codeine |Kaolin
ismo - isosorbide mononitrate,1140910512,C01DA14,Isosorbide Mononitrate
tramacet 325mg/37.5mg tablet,1141190960,N02AJ13,Tramadol |Acetaminophen
hydroxyzine,1140883656,N05BB01,Hydroxyzine
viagra 50mg tablet,1141168946,G04BE03,Sildenafil
clobetasone,1140884696,D07AB01 |S01BA09,Clobetasone
tenofovir,1141179764,J05AF,Tenofovir
vascalpha 5mg m/r tablet,1141190160,C08CA02,Felodipine
azithromycin,1140873642,J01FA10 |S01AA26,Azithromycin
acyclovir,1140909954,D06BB03 |J05AB01 |S01AD03,Aciclovir
zumenon 1mg tablet,1140928878,G03CA03,Estradiol
sinemet-62.5 tablet,1141164872,N04BA02,Levodopa |Carbidopa
rennie duo oral suspension,1141166086,A02AC01,Calcium Carbonate
magnesium carbonate,1140881320,A02AA01 |A06AD01,Magnesium Carbonate
didronel 200mg tablet,1140868772,M05BA01,Etidronic Acid
zimovane ls 3.75mg tablet,1140928004,N05CF01,Zopiclone
forceval capsule,1140870488,A11AA,Mineral |Multivitamin
lyrica 25mg capsule,1141200072,N03AX16,Pregabalin
beclomist 50micrograms nasal spray,1141167708,R01AD01,Beclomethasone Dipropionate
ursodeoxycholic acid,1141173328,A05AA02,Ursodeoxycholic Acid
coaprovel 150mg/12.5mg tablet,1141172686,C09DA04,Hydrochlorothiazide |Irbesartan
viagra 100mg tablet,1141168948,G04BE03,Sildenafil
pyridoxine preparation,1140888362,A11HA02,Pyridoxine
dermol 500 lotion,1140927320,D08A,Chlorhexidine |Benzalkonium
motilium 10mg tablet,1140867998,A03FA03,Domperidone
hyoscine butylbromide,1140865394,A03BB01,Scopolamine Butylbromide
ispaghula husk product,1141157494,A06AC01,Plantago Seed
mercilon tablet,1140869164,G03AA09,Desogestrel |Ethinyl Estradiol
viagra 25mg tablet,1141168944,G04BE03,Sildenafil
norgeston tablet,1140869370,G03AC03,Levonorgestrel
betnesol 0.1% eye/ear/nose drops,1140882626,S01BA06 |S02BA07 |S03BA03,Betamethasone
dorzolamide,1140922714,S01EC03,Dorzolamide
questran 4g/sachet powder,1140861936,C10AC01,Cholestyramine
ketoprofen,1140871506,M01AE03 |M02AA10,Ketoprofen
brimonidine tartrate,1141150750,D11AX21 |S01EA05,Brimonidine
merbentyl 10mg tablet,1140865382,A03AA07,Dicyclomine
keppra 250mg tablet,1141171940,N03AX14,Levetiracetam
budesonide product,1141157418,A07EA06 |D07AC09 |R01AD05 |R03BA02,Budesonide
madopar 62.5 capsule,1140872338,N04BA02,Levodopa |Benserazide
indivina 1mg/2.5mg tablet,1141172436,G03FA12,Medroxyprogesterone Acetate |Estradiol
formoterol,1141195224,R03AC13,Formoterol
reductil 10mg capsule,1141174508,A08AA10,Sibutramine
tears naturale eye drops,1140878172,S01XA20,Hypromellose |Dextran 70
evista 60mg tablet,1141168578,G03XC01,Raloxifene
cyanocobalamin product,1140870512,B03BA01,Cyanocobalamin
zirtek allergy 10mg tablet,1141180662,R06AE07,Cetirizine
micardis 20mg tablet,1141172492,C09CA07,Telmisartan
phenobarbitone,2038460068,N03AA02,Phenobarbital
gamolenic acid,1140880072,D11AX02,Gamolenic Acid
depakote 250mg e/c tablet,1141172838,N05AX,Valproic Acid
amantadine,1140879644,N04BB01,Amantadine
monomax xl 60mg m/r tablet,1141172698,C01DA14,Isosorbide Mononitrate
serc-8 tablet,1140868064,N07CA01,Betahistine
sodium cromoglycate,1140862526,A07EB01 |D11AH03 |R01AC01 |R03BC01 |S01GX01,Cromoglicic Acid
sodium bicarbonate,1140877826,B05CB04 |B05XA02,Sodium Bicarbonate
tetracycline,1140873450,A01AB13 |D06AA04 |J01AA07 |S01AA09 |S02AA08 |S03AA02,Tetracycline
balsalazide disodium,1141153242,A07EC04,Balsalazide
nitromin 400micrograms cfc-free spray,1141145630,C01DA02,Nitroglycerin
oramorph 10mg/5ml oral solution,1140882272,N02AA01,Morphine
humira 40mg injection solution 0.8ml prefilled syringe,1141188594,L04AB04,Adalimumab
zirtek 10mg tablet,1140862770,R06AE07,Cetirizine
oestrogel 0.06% gel,1141167206,G03CA03,Estradiol
mirapexin 0.088mg tablet,1141164068,N04BC05,Pramipexole
enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet,1140860790,C09BA02,Enalapril |Hydrochlorothiazide
vardenafil,1141192248,G04BE09,Vardenafil
glibenclamide,1140874718,A10BB01,Glyburide
arcoxia 90mg tablet,1141180150,M01AH05,Etoricoxib
celiprolol,1140879762,C07AB08,Celiprolol
anusol cream,1140865816,C05AX,Zinc Oxide |Bismuth Subsalicylate |Balsam Of Peru
asasantin retard m/r capsule,1141167848,B01AC30,Acetylsalicylic Acid |Dipyridamole
zydol 50mg capsule,1140865000,N02AX02,Tramadol
canesten 1% cream,1140878530,D01AC01,Clotrimazole
care cetirizine hayfever relief 10mg tablet,1141187230,R06AE07,Cetirizine
cozaar-comp 50mg/12.5mg tablet,1141151018,C09DA01,Losartan |Hydrochlorothiazide
b12 - cyanocobalamin prep,1140912228,B03BA01,Cyanocobalamin
protelos 2g sachets,1141200768,M05BX03,Strontium Ranelate
synalar 1:10 cream,1140913292,D07AC04,Fluocinolone Acetonide
securon 40mg tablet,1140866466,C08DA01,Verapamil
nefopam,1140884560,N02BG06,Nefopam
clobetasol,1140888074,D07AD01,Clobetasol
sno-tears eye drops,1140878184,S01XA20,Polyvinyl Alcohol
irbesartan+hydrochlorothiazide 150mg/12.5mg tablet,1141172682,C09DA04,Hydrochlorothiazide |Irbesartan
dexamethasone,1140874816,A01AC02 |C05AA09 |D07AB19 |D07XB05 |D10AA03 |H02AB02 |R01AD03 |S01BA01 |S01CB01 |S02BA06 |S03BA01,Dexamethasone
solpadeine capsule,1141168650,N02AJ06,Caffeine |Acetaminophen |Codeine
clotrimazole,1140880288,A01AB18 |D01AC01 |G01AF02,Clotrimazole
oxycodone hydrochloride,1141171038,N02AA05,Oxycodone
inderal 10mg tablet,1140866804,C07AA05,Propranolol
phenobarbital,1140910706,N03AA02,Phenobarbital
kapake tablet,1140864070,N02AJ06,Acetaminophen |Codeine
eltroxin 25micrograms tablet,1141178036,H03AA01,Levothyroxine
chlorpheniramine,1140883520,R06AB04,Chlorphenamine
dixarit 25mcg tablet,1140871984,N02CX02,Clonidine
capasal shampoo,1140878512,D05AA,Salicylic Acid |Coal Tar |Coconut Oil
desmopressin,1140868816,H01BA02,Desmopressin
buccastem 3mg tablet,1140868192,N05AB04,Prochlorperazine
fentanyl,1140880956,N01AH01 |N02AB03,Fentanyl
indoramin,1140879782,C02CA02,Indoramin
macrogol ointment,1140854076,A06AD15,Polyethylene Glycol
amitriptyline hydrochloride+perphenazine 10mg/2mg tablet,1140867948,N06CA01,Amitriptyline |Perphenazine
nedocromil,1140883706,R01AC07 |R03BC03 |S01GX04,Nedocromil
hydroxocobalamin product,1140870504,B03BA03 |V03AB33,Hydroxocobalamin
berocca effervescent tablet,1141188210,A11AA,Mineral |Multivitamin
migril tablet,1140872058,N02CA52,Caffeine |Ergotamine |Cyclizine
cabergoline,1140864566,G02CB03 |N04BC06,Cabergoline
marvelon tablet,1140869162,G03AA09,Desogestrel |Ethinyl Estradiol
co-careldopa,1140882112,N04BA02,Levodopa |Carbidopa
phenoxymethylpenicillin,1140872590,J01CE02,Phenoxymethylpenicillin
liothyronine,1140884512,H03AA02,Liothyronine
oestradiol product,1140868456,G03CA03,Estradiol
almotriptan,1141172728,N02CC05,Almotriptan
protium 20mg e/c tablet,1141164616,A02BC02,Pantoprazole
codipar caplet,1141187304,N02AJ06,Acetaminophen |Codeine
bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet,1141194800,C03AB01,Bendroflumethiazide |Potassium
mometasone furoate 0.1% ointment,1140888176,D07AC13,Mometasone
isosorbide dinitrate,1140861008,C01DA08 |C05AE02,Isosorbide Dinitrate
felendil xl 5mg m/r tablet,1141188836,C08CA02,Felodipine
maxidex eye drops,1140882722,S01BA01,Dexamethasone
loratadine product,1141157324,R06AX13,Loratadine
deep relief ibuprofen gel,1140911750,M02AX,Ibuprofen |Menthol
natrilix sr 1.5mg m/r tablet,1141146378,C03BA11,Indapamide
avodart 500micrograms capsule,1141192004,G04CB02,Dutasteride
polytar liquid,1140878498,D05AA,Coal Tar
salbutamol+ipratropium 100micrograms/20micrograms inhaler,1140864966,R03AL02,Ipratropium Bromide |Salbutamol
beclomethasone dipropionate+salbutamol,1140881938,R03AK13,Beclomethasone Dipropionate |Salbutamol
salbuvent 100micrograms inhaler,1140855380,R03AC02,Salbutamol
dorzolamide+timolol,1141169516,S01ED51,Timolol |Dorzolamide
dovonex 50micrograms/g ointment,1140878378,D05AX02,Calcipotriol
acrivastine,1140862760,R06AX18,Acrivastine
cetraben emollient cream,1141185986,D02AX,Mineral Oil |Petrolatum
femara 2.5mg tablet,1141145900,L02BG04,Letrozole
clarithromycin,1140873634,J01FA09,Clarithromycin
perindopril+indapamide,1141180592,C09BA04,Perindopril |Indapamide
tridestra tablet,1140921088,G03FB06,Medroxyprogesterone Acetate |Estradiol
bromelains,1140853200,D03BA03 |M09AB03,Bromelain
alphagan 0.2% eye drops,1141150754,S01EA05,Brimonidine
zestoretic 10 tablet,1140864618,C09BA03,Lisinopril |Hydrochlorothiazide
estradot 25micrograms patch,1141202030,G03CA03,Estradiol
calfovit d3 powder for oral suspension,1141191312,A12AX,Cholecalciferol |Calcium Phosphate
conjugated oestrogens,1140868406,G03CA57,Conjugated Estrogens
solpadeine tablet,1141168648,N02AJ06,Acetaminophen |Codeine
ritonavir,1140928384,J05AE03,Ritonavir
oestrogel 1.25g gel,1140917450,G03CA03,Estradiol
trifluoperazine,1140868120,N05AB06,Trifluoperazine
movelat cream,1140875630,M02AC,Salicylic Acid |Mucopolysaccharide Polysulfate
oxis 6micrograms turbohaler,1141153236,R03AC13,Formoterol
cetraben cream,1141173872,D02AX,Glycerin |Petrolatum |Light Mineral Oil
metronidazole product,1141157364,A01AB17 |D06BX01 |G01AF01 |J01XD01 |P01AB01,Metronidazole
co-amoxiclav,1140882374,J01CA04,Amoxicillin
phenergan 10mg tablet,1140862810,R06AD02,Promethazine
dovonex scalp solution,1140910884,D05AX02,Calcipotriol
sustanon 100 oily injection,1140868538,G03BA03,Testosterone Propionate |Testosterone Decanoate |Testosterone Isocaproate |Testosterone Phenylpropionate
regulan 3.6g/sachet powder,1140865762,A06AC01,Plantago Seed
ascorbic acid product,1140870932,A11GA01 |S01XA15 |G01AD03,Vitamin C
nizatidine,1140865618,A02BA04,Nizatidine
sandrena 0.5mg gel,1141151368,G03CA03,Estradiol
coversyl plus 4mg/1.25mg tablet,1141180598,C09BA04,Perindopril |Indapamide
vitamin k product,1140871138,B02BA,Vitamin K
lipantil micro 67mg capsule,1141162544,C10AB05,Fenofibrate
amisulpride,1141153490,N05AL05,Amisulpride
glucose product,1140888438,B05CX01 |V04CA02 |V06DC01,Glucose
piriteze 10mg tablet,1141179830,R06AE07,Cetirizine
dicycloverine,1141194852,A03AA07,Dicyclomine
dermol cream,1141195836,D02AX,Chlorhexidine |Mineral Oil |Benzalkonium |Isopropyl Myristate
metrogel 0.75% gel,1140880462,D06BX01,Metronidazole
colestyramine,1140909780,C10AC01,Cholestyramine
benadryl allergy relief 8mg capsule,1141162526,R06AX18,Acrivastine
selegiline,1140879668,N04BD01,Selegiline
bicalutamide,1140917306,L02BB03,Bicalutamide
aminophylline,1140862260,R03DA05,Aminophylline
atenolol+bendroflumethiazide,1141194810,C07BB03,Atenolol |Bendroflumethiazide
ibuprofen product,1141157412,C01EB16 |G02CC01 |M01AE01 |M02AA13 |R02AX02,Ibuprofen
potassium product,1140888432,A12BA,Potassium
oilatum emollient bath additive,1140878248,D02A,Light Mineral Oil
co-trimoxazole,1140873780,J01EE01,Trimethoprim |Sulfamethoxazole
clonidine hydrochloride 25micrograms tablet,1140871986,N02CX02,Clonidine
gastrocote liquid,1140881414,A02AX,Sodium Bicarbonate |Aluminum Hydroxide |Alginic Acid |Magnesium Trisilicate
diclomax sr 75mg m/r capsule,1140917394,M01AB05,Diclofenac
estracombi tts patch,1140868520,G03CA03,Norethisterone |Estradiol
protopic 0.03% ointment,1141179846,D11AH01,Tacrolimus
yasmin tablet,1141179824,G03AA12,Ethinyl Estradiol |Drospirenone
rhumalgan 25mg e/c tablet,1140871180,M01AB05,Diclofenac
modafinil,1141163114,N06BA07,Modafinil
azelastine,1140883500,R01AC03 |R06AX19 |S01GX07,Azelastine
glipizide,1140874646,A10BB07,Glipizide
polyvinyl alcohol 1% eye drops,1140876006,S01AX20,Polyvinyl Alcohol
ciprofibrate,1140862026,C10AB08,Ciprofibrate
ovranette tablet,1140869186,G03AA07,Levonorgestrel |Ethinyl Estradiol
solaraze 3% gel,1141174424,D11AX18,Diclofenac
minims artificial tears single-use eye drops,1140878190,S01XA20,Sodium Chloride |Hydroxyethyl Cellulose
kapake capsule,1141165512,N02AJ06,Acetaminophen |Codeine
viazem xl 120mg m/r capsule,1141151474,C08DB01,Diltiazem
stalevo 50mg / 12.5mg / 200mg tablet,1141189134,N04BA03,Entacapone |Levodopa |Carbidopa
volsaid retard 75mg m/r tablet,1140923920,M01AB05,Diclofenac
folinic acid,1141173342,V03AF03,Leucovorin
sudafed 60mg tablet,1140863098,R01BA02,Pseudoephedrine
salbulin 100micrograms inhaler,1140861996,R03AC02,Salbutamol
promethazine product,1140882082,D04AA10 |R06AD02,Promethazine
actos 15mg tablet,1141171652,A10BG03,Pioglitazone
timodine cream,1140882756,D01A,Nystatin |Hydrocortisone |Benzalkonium
locoid 0.1% cream,1140882852,D07AB02,Hydrocortisone
trusopt 2% ophthalmic solution,1140922718,S01EC03,Dorzolamide
pilocarpine,1140875816,N07AX01 |S01EB01,Pilocarpine
alverine citrate+sterculia 0.5%/62% granules,1140865338,A03AX58,Alverine |Sterculia
prothiaden 25mg capsule,1140867624,N06AA16,Dosulepin
diprobase ointment,1140878286,D02AX,No Active Ingredients
teoptic 1% eye drops,1140877988,S01ED05,Carteolol
lamictal 25mg tablet,1140872302,N03AX09,Lamotrigine
motifene 75mg e/c+m/r capsule,1140909354,M01AB05,Diclofenac
trisequens tablet,1140868514,G03FB05,Norethisterone |Estradiol
repaglinide,1141168660,A10BX02,Repaglinide
cyclosporin,2038459888,L04AD01 |S01XA18,Cyclosporine
elleste-solo mx 40 patch,1141152228,G03CA03,Estradiol
isosorbide mononitrate product,1141157254,C01DA14,Isosorbide Mononitrate
vitamin a+d capsule,1140852766,A11CB,Vitamin A |Vitamin D
pyridostigmine,1140883478,N07AA02,Pyridostigmine
ventodisks 200micrograms/blister disks+diskhaler,1140862016,R03AC02,Salbutamol
bezalip-mono 400mg m/r tablet,1140861928,C10AB02,Bezafibrate
sanomigran 500micrograms tablet,1140871996,N02CX01,Pizotifen
clobazam,1140863268,N05BA09,Clobazam
amlostin 5mg tablet,1141200400,C08CA01,Amlodipine
micropirin 75mg e/c tablet,1141177826,B01AC06,Acetylsalicylic Acid
brufen 200mg tablet,1140871374,C01EB16 |M01AE01 |R02AX02,Ibuprofen
otrivine 0.1% nasal drops,1140876098,S01GA03,Xylometazoline
solpadol effervescent tablet,1140871682,N02AJ06,Acetaminophen |Codeine
nytol 25mg tablet,1140862722,R06AA02,Diphenhydramine
dulco-lax 5mg e/c tablet,1140865686,A06AB02,Bisacodyl
frumil tablet,1140866406,C03CA01,Amiloride |Furosemide
fentanyl product,1141157470,N01AH01 |N02AB03,Fentanyl
ketoconazole 2% shampoo,1140880264,D01AC08,Ketoconazole
sumatriptan product,1141157332,N02CC01,Sumatriptan
eplerenone,1141201244,C03DA04,Eplerenone
mometasone furoate 0.1% lotion,1140888184,D07AC13,Mometasone
easyhaler salbutamol 100mcg breath-actuated dry powder inh,1141200640,R03AC02,Salbutamol
ferrograd 325mg filmtab,1140870296,B03AA02,Iron
fucidin cream,1140882542,D06AX01,Fusidic Acid
capsaicin 0.025% cream,1141166746,M02AB01,Capsaicin
stugeron 15mg tablet,1140868074,N07CA02,Cinnarizine
rapitil 2% eye drops,1140917432,S01GX04,Nedocromil
emtricitabine,1141189380,J05AF09,Emtricitabine
ditropan 2.5mg tablet,1140869492,G04BD04,Oxybutynin
exorex lotion,1141167140,D05AA,Coal Tar
geltears gel,1140928880,S01XA20,Carbomer 980
neoral 10mg capsule,1141167744,L04AD01,Cyclosporine
rinatec 0.03% aqueous nasal spray,1141152098,R01AX03,Ipratropium Bromide
sandocal 400 effervescent tablet,1140870800,A12AA,Calcium Carbonate |Calcium Lactate Gluconate
emulsifying ointment bp,1140876312,D09A,Mineral Oil |Petrolatum |Emulsifying Wax
trimipramine,1140867756,N06AA06,Trimipramine
pred forte 1% eye drops,1140883030,S01BA04,Prednisolone
aromasin 25mg tablet,1141171104,L02BG06,Exemestane
hydromol cream,1140878328,D02A,Sodium Pyrrolidone Carboxylate
co-diovan 80mg/12.5mg tablet,1141201040,C09DA03,Valsartan |Hydrochlorothiazide
plendil 2.5mg m/r tablet,1140928212,C08CA02,Felodipine
sinemet-ls tablet,1140872420,N04BA02,Levodopa |Carbidopa
valsartan+hydrochlorothiazide 80mg/12.5mg tablet,1141201038,C09DA03,Valsartan |Hydrochlorothiazide
arcoxia 120mg tablet,1141180152,M01AH05,Etoricoxib
calmurid cream,1140878236,D02AE,Lactic Acid |Urea
aveeno cream,1140878308,D05AA,Colloidal Oatmeal
zapain capsule,1141178054,N02AJ06,Acetaminophen |Codeine
diltiazem hcl+hydrochlorothiazide 150mg/12.5mg m/r capsule,1140926778,C08GA,Diltiazem |Hydrochlorothiazide
trihexyphenidyl,1140909816,N04AA01,Trihexyphenidyl
pseudoephedrine,1140882142,R01BA02,Pseudoephedrine
xismox xl 60 m/r tablet,1141173888,C01DA14,Isosorbide Mononitrate
lyrinel xl 5mg m/r tablet,1141193290,G04BD04,Oxybutynin
mintec 0.2ml e/c capsule,1140865418,A03A,Peppermint Oil
prostap sr 3.75mg injection (pdr for recon)+diluent+kit,1140870284,L02AE02,Leuprolide
latanoprost+timolol,1141184722,S01ED51,Timolol |Latanoprost
sulpiride,1140867304,N05AL01,Sulpiride
cephalexin,1140873288,J01DB01,Cephalexin
lomotil tablet,1140865658,A07DA01,Atropine |Diphenoxylate
rhinolast 0.1% nasal spray,1141190244,R01AC03,Azelastine
cortisone,1141173346,H02AB10 |S01BA03,Cortisone Acetate
xyzal 5mg tablet,1141184752,R06AE09,Levocetirizine
nebido 1000mg/4ml solution for injection,1141201718,G03BA03,Testosterone
asmasal 100micrograms spacehaler,1141153172,R03AC02,Salbutamol
vitamin a product,1140870852,A11CA,Vitamin A
oxycontin 10mg m/r tablet,1141171048,N02AA05,Oxycodone
dianette tablet,1140880234,G03HB01,Ethinyl Estradiol |Cyproterone Acetate
femodene tablet,1140869334,G03AA10,Ethinyl Estradiol |Gestodene
seroquel 25mg tablet,1141152860,N05AH04,Quetiapine
beclo-aqua 50 nasal spray,1141163146,R01AD01,Beclomethasone Dipropionate
zoledronic acid,1141173814,M05BA08,Zoledronic Acid
voltaren retard 100mg m/r tablet,1140877872,M01AB05,Diclofenac
labetalol,1140879824,C07AG01,Labetalol
glyclizide,1140910566,A10BB09,Gliclazide
pulmicort ls 50micrograms spacer inhaler,1140862584,R01AD05,Budesonide
mizolastine product,1141157056,R06AX25,Mizolastine
algesal cream,1140875596,M02AC,Diethylamine Salicylate
syntaris 25micrograms nasal spray,1140876052,R01AD04,Flunisolide
nevirapine,1141167014,J05AG01,Nevirapine
tenormin 25 tablet,1140866756,C07AB03,Atenolol
avandia 4mg tablet,1141177606,A10BG02,Rosiglitazone
buspirone,1140879730,N05BE01,Buspirone
zestril 2.5mg tablet,1140860714,C09AA03,Lisinopril
methyldopa,1140860470,C02AB,Methyldopa
ciclosporin,1140909844,L04AD01 |S01XA18,Cyclosporine
cyclo-progynova 1mg tablet,1140868508,G03F,Estradiol |Norgestrel
primidone,1140872132,N03AA03,Primidone
teveten 300mg tablet,1141171344,C09CA02,Eprosartan
benadryl 25mg capsule,1140855562,R06AA02,Diphenhydramine
lustral 50mg tablet,1140867884,N06AB06,Sertraline
diamicron 80mg tablet,1140874746,A10BB09,Gliclazide
novolizer budesonide 200micrograms/dose cartridge+inhaler,1141195280,R03BA02,Budesonide
aripiprazole,1141195974,N05AX12,Aripiprazole
maxepa 1g capsule,1140861884,V06D,Docosahexaenoic Acid |Eicosapentaenoic Acid
cacit d3 granules,1141145880,A12AX,Cholecalciferol |Calcium Carbonate
topamax 25mg tablet,1140927692,N03AX11,Topiramate
methocarbamol,1140875452,M03BA03,Methocarbamol
prazosin,1140879794,C02CA01,Prazosin
supralip 160mg m/r tablet,1141172214,C10AB05,Fenofibrate
calciferol,1140909876,A11CC05,Vitamin D
haloperidol,1140867168,N05AD01,Haloperidol
atarax 10mg tablet,1140863286,N05BB01,Hydroxyzine
efavirenz,1141165518,J05AG03,Efavirenz
coro-nitro spray 400micrograms spray,1140860836,C05AE01,Nitroglycerin
ponstan 250mg capsule,1140871546,M01AG01,Mefenamic Acid
gavilast-p 75mg tablet,1141188426,A02BA,Ranitidine
amorolfine,1140880466,D01AE16,Amorolfine Hydrochloride
requip 0.25mg tablet,1140928338,N04BC04,Ropinirole
slow-k 600mg m/r tablet,1140870556,A12BA01,Potassium Chloride
colazide 750mg capsule,1141153248,A07EC,Balsalazide
fluconazole,1140874272,J02AC01 |D01AC15,Fluconazole
migraleve duopack tablet,1140872026,N02AA79,Acetaminophen |Codeine |Buclizine
efudix cream,1140869778,L01BC02,Fluorouracil
stelazine 1mg tablet,1140867244,N05AB06,Trifluoperazine
betagan eye drops,1140878098,S01ED03,Levobunolol
cefradine,1141180644,J01DB09,Cefradine
nebilet 5mg tablet,1141164280,C07AB12,Nebivolol
half securon sr 120mg m/r tablet,1140866460,C08DA01,Verapamil
tizanidine,1141153186,M03BX02,Tizanidine
almogran 12.5mg tablet,1141172628,N02CC05,Almotriptan
monomil xl 60mg m/r tablet,1141189776,C01DA14,Isosorbide Mononitrate
dapsone,1140874104,D10AX05 |J04BA02,Dapsone
scheriproct ointment,1140881448,D07XA02,Cinchocaine |Prednisolone
lamivudine,1140928142,J05AF05,Lamivudine
fematrix 40 patch,1140923598,G03CA03,Estradiol
mysoline 250mg tablet,1140872134,N03AA03,Primidone
