Gene,p Value,False Discovery Rate,Average Difference log fold change,Fraction of Detection in Cluster,Fraction of Detection in Other Clusters,Cluster
SNCA,0.00,0.00,0.45,0.31,0.20,Ex3c
GLS,0.00,0.00,0.38,0.32,0.25,Ex3c
ACTG1,0.00,0.00,0.45,0.29,0.20,Ex3c
ELMOD1,0.00,0.00,0.44,0.27,0.18,Ex3c
ZNF483,0.00,0.00,0.43,0.27,0.21,Ex3c
ADAM23,0.00,0.00,0.40,0.30,0.24,Ex3c
OCIAD1,0.00,0.00,0.42,0.27,0.20,Ex3c
SORL1,0.00,0.00,0.41,0.31,0.21,Ex3c
KIF5C,0.00,0.00,0.33,0.48,0.42,Ex3c
SPTBN1,0.00,0.00,0.36,0.37,0.30,Ex3c
APBB1,0.00,0.00,0.43,0.26,0.20,Ex3c
RPS14,0.00,0.00,0.42,0.26,0.16,Ex3c
MEF2C,0.00,0.00,0.31,0.58,0.48,Ex3c
ITPR1,0.00,0.00,0.37,0.30,0.25,Ex3c
CLTC,0.00,0.00,0.39,0.28,0.21,Ex3c
ROCK2,0.00,0.00,0.34,0.43,0.36,Ex3c
PAK1,0.00,0.00,0.37,0.33,0.23,Ex3c
CPE,0.00,0.00,0.35,0.39,0.29,Ex3c
RAB2A,0.00,0.00,0.41,0.28,0.21,Ex3c
NCKAP1,0.00,0.00,0.36,0.26,0.21,Ex3c
RTF1,0.00,0.00,0.35,0.31,0.26,Ex3c
RUFY3,0.00,0.00,0.32,0.29,0.24,Ex3c
RPL31,0.00,0.00,0.39,0.27,0.20,Ex3c
GAS7,0.00,0.00,0.38,0.27,0.19,Ex3c
DNAJC6,0.00,0.00,0.37,0.35,0.26,Ex3c
APLP2,0.00,0.00,0.35,0.28,0.21,Ex3c
LONRF2,0.00,0.00,0.35,0.26,0.20,Ex3c
SEC62,0.00,0.00,0.37,0.27,0.22,Ex3c
SEPT7,0.00,0.01,0.33,0.45,0.37,Ex3c
HIVEP2,0.01,0.01,0.31,0.36,0.30,Ex3c
WASF1,0.01,0.01,0.34,0.30,0.22,Ex3c
VPS13A,0.01,0.01,0.36,0.25,0.19,Ex3c
RCAN2,0.01,0.01,0.31,0.34,0.28,Ex3c
EPHA4,0.01,0.01,0.33,0.28,0.21,Ex3c
CNTN5,0.00,0.00,2.06,0.97,0.40,Ex3d
LRRC4C,0.00,0.00,1.73,0.95,0.50,Ex3d
NTNG1,0.00,0.00,1.79,0.76,0.13,Ex3d
TENM2,0.00,0.00,1.26,0.95,0.55,Ex3d
RORB,0.00,0.00,1.50,0.78,0.17,Ex3d
PTPRD,0.00,0.00,0.97,0.98,0.76,Ex3d
GABRG3,0.00,0.00,1.27,0.84,0.36,Ex3d
SNTG1,0.00,0.00,1.03,0.93,0.60,Ex3d
POU6F2,0.00,0.00,1.41,0.72,0.19,Ex3d
PLEKHH2,0.00,0.00,1.38,0.46,0.04,Ex3d
CTC-340A15.2,0.00,0.00,1.93,0.53,0.12,Ex3d
PHACTR2,0.00,0.00,1.43,0.62,0.11,Ex3d
CPNE4,0.00,0.00,1.39,0.68,0.17,Ex3d
CNTNAP5,0.00,0.00,1.14,0.85,0.48,Ex3d
RORA,0.00,0.00,0.74,0.91,0.59,Ex3d
CTC-535M15.2,0.00,0.00,1.52,0.45,0.08,Ex3d
KCNIP4,0.00,0.00,0.43,1.00,0.86,Ex3d
TRPC3,0.00,0.00,1.03,0.34,0.04,Ex3d
ADAMTS17,0.00,0.00,0.88,0.48,0.10,Ex3d
BRINP3,0.00,0.00,1.06,0.71,0.27,Ex3d
FAM19A2,0.00,0.00,1.00,0.82,0.41,Ex3d
CSMD2,0.00,0.00,1.10,0.68,0.27,Ex3d
CUX1,0.00,0.00,1.10,0.64,0.23,Ex3d
FAM189A1,0.00,0.00,1.07,0.57,0.17,Ex3d
VAV3,0.00,0.00,0.91,0.40,0.08,Ex3d
NLGN1,0.00,0.00,0.71,0.92,0.66,Ex3d
HS6ST2,0.00,0.00,1.14,0.35,0.06,Ex3d
RP11-420N3.3,0.00,0.00,1.03,0.44,0.09,Ex3d
HTR2A,0.00,0.00,1.03,0.41,0.08,Ex3d
PRKG1,0.00,0.00,1.00,0.64,0.24,Ex3d
KCNIP1,0.00,0.00,1.06,0.44,0.10,Ex3d
PLAGL1,0.00,0.00,0.92,0.38,0.07,Ex3d
MAST4,0.00,0.00,0.92,0.67,0.27,Ex3d
EYA4,0.00,0.00,0.86,0.28,0.03,Ex3d
PTPRT,0.00,0.00,0.90,0.69,0.29,Ex3d
IQCJ-SCHIP1,0.00,0.00,0.73,0.87,0.48,Ex3d
RYR3,0.00,0.00,0.73,0.56,0.19,Ex3d
SLC2A13,0.00,0.00,0.83,0.71,0.33,Ex3d
SPARCL1,0.00,0.00,0.75,0.82,0.44,Ex3d
NRGN,0.00,0.00,1.01,0.67,0.29,Ex3d
ZNF385B,0.00,0.00,0.84,0.75,0.38,Ex3d
SPON1,0.00,0.00,0.85,0.28,0.04,Ex3d
THSD7A,0.00,0.00,0.86,0.61,0.22,Ex3d
CUX2,0.00,0.00,0.91,0.53,0.17,Ex3d
RAB3B,0.00,0.00,1.03,0.29,0.04,Ex3d
RIMS2,0.00,0.00,0.62,0.91,0.64,Ex3d
BRINP1,0.00,0.00,0.72,0.66,0.28,Ex3d
RP11-32K4.1,0.00,0.00,0.96,0.41,0.11,Ex3d
ILDR2,0.00,0.00,0.83,0.34,0.08,Ex3d
FAM19A1,0.00,0.00,0.67,0.65,0.27,Ex3d
GRIN2A,0.00,0.00,0.70,0.80,0.46,Ex3d
CHGA,0.00,0.00,0.99,0.41,0.12,Ex3d
RP11-30J20.1,0.00,0.00,0.86,0.32,0.06,Ex3d
CLMN,0.00,0.00,0.42,0.26,0.06,Ex3d
PDE3A,0.00,0.00,0.80,0.31,0.06,Ex3d
UNC13C,0.00,0.00,0.34,0.52,0.22,Ex3d
PARM1,0.00,0.00,0.90,0.40,0.11,Ex3d
KHDRBS2,0.00,0.00,0.57,0.83,0.47,Ex3d
MYO16,0.00,0.00,0.75,0.41,0.12,Ex3d
PRR16,0.00,0.00,0.82,0.42,0.13,Ex3d
KCNH8,0.00,0.00,0.56,0.38,0.12,Ex3d
CDH20,0.00,0.00,0.59,0.53,0.21,Ex3d
ALOX12P2,0.00,0.00,0.77,0.32,0.07,Ex3d
SLC8A1,0.00,0.00,0.67,0.79,0.45,Ex3d
GRM7,0.00,0.00,0.70,0.74,0.40,Ex3d
ATP2B2,0.00,0.00,0.65,0.72,0.43,Ex3d
MEF2C,0.00,0.00,0.59,0.81,0.47,Ex3d
CCDC136,0.00,0.00,0.88,0.44,0.15,Ex3d
GRIK4,0.00,0.00,0.78,0.38,0.11,Ex3d
CTNND1,0.00,0.00,0.71,0.28,0.06,Ex3d
ERC2,0.00,0.00,0.64,0.78,0.46,Ex3d
MEF2A,0.00,0.00,0.64,0.64,0.32,Ex3d
GABRB2,0.00,0.00,0.60,0.76,0.42,Ex3d
NEGR1,0.00,0.00,0.60,0.88,0.64,Ex3d
PLCB1,0.00,0.00,0.48,0.93,0.65,Ex3d
ANKS1B,0.00,0.00,0.47,0.95,0.79,Ex3d
PCSK1,0.00,0.00,0.77,0.27,0.06,Ex3d
LINGO2,0.00,0.00,0.49,0.72,0.39,Ex3d
DCLK1,0.00,0.00,0.64,0.74,0.44,Ex3d
CDK14,0.00,0.00,0.68,0.65,0.33,Ex3d
SLC44A5,0.00,0.00,0.73,0.59,0.29,Ex3d
OLFM1,0.00,0.00,0.64,0.68,0.34,Ex3d
TRHDE,0.00,0.00,0.64,0.48,0.19,Ex3d
NRG3,0.00,0.00,0.34,0.94,0.71,Ex3d
KHDRBS3,0.00,0.00,0.62,0.60,0.29,Ex3d
GABRA1,0.00,0.00,0.73,0.58,0.28,Ex3d
LRRK2,0.00,0.00,0.83,0.31,0.08,Ex3d
LRRC28,0.00,0.00,0.76,0.39,0.13,Ex3d
SYT1,0.00,0.00,0.29,0.96,0.77,Ex3d
MTUS2,0.00,0.00,0.51,0.71,0.41,Ex3d
RBMS1,0.00,0.00,0.83,0.34,0.10,Ex3d
EXTL2,0.00,0.00,0.65,0.26,0.06,Ex3d
CAMK2G,0.00,0.00,0.58,0.44,0.17,Ex3d
CSMD1,0.00,0.00,0.27,0.99,0.79,Ex3d
PTCHD4,0.00,0.00,0.74,0.38,0.13,Ex3d
PRMT8,0.00,0.00,0.82,0.39,0.14,Ex3d
ARL4C,0.00,0.00,0.63,0.36,0.12,Ex3d
KIAA0319,0.00,0.00,0.72,0.35,0.11,Ex3d
IL1RAPL2,0.00,0.00,0.77,0.39,0.13,Ex3d
ETS2,0.00,0.00,0.85,0.25,0.06,Ex3d
PLCH1,0.00,0.00,0.64,0.29,0.08,Ex3d
LMO7,0.00,0.00,0.66,0.33,0.11,Ex3d
PEBP1,0.00,0.00,0.51,0.61,0.32,Ex3d
CCNI,0.00,0.00,0.57,0.53,0.26,Ex3d
VPS41,0.00,0.00,0.63,0.40,0.16,Ex3d
SLC38A1,0.00,0.00,0.51,0.41,0.17,Ex3d
RALYL,0.00,0.00,0.33,0.84,0.57,Ex3d
LRRC7,0.00,0.00,0.46,0.81,0.53,Ex3d
SLC6A17,0.00,0.00,0.61,0.36,0.12,Ex3d
PAM,0.00,0.00,0.62,0.55,0.27,Ex3d
SCN1B,0.00,0.00,0.60,0.32,0.11,Ex3d
LIN7A,0.00,0.00,0.69,0.41,0.16,Ex3d
FOXP2,0.00,0.00,0.49,0.30,0.11,Ex3d
SMPD3,0.00,0.00,0.64,0.25,0.07,Ex3d
NELL2,0.00,0.00,0.57,0.59,0.30,Ex3d
SORL1,0.00,0.00,0.71,0.46,0.21,Ex3d
CALM1,0.00,0.00,0.47,0.77,0.51,Ex3d
RGS7,0.00,0.00,0.43,0.89,0.66,Ex3d
EPHA4,0.00,0.00,0.63,0.46,0.21,Ex3d
SORCS1,0.00,0.00,0.51,0.55,0.28,Ex3d
NYAP2,0.00,0.00,0.60,0.31,0.10,Ex3d
FMN1,0.00,0.00,0.64,0.51,0.25,Ex3d
NEFL,0.00,0.00,0.40,0.42,0.19,Ex3d
LMO4,0.00,0.00,0.51,0.51,0.25,Ex3d
C11orf87,0.00,0.00,0.68,0.28,0.08,Ex3d
HS6ST3,0.00,0.00,0.32,0.69,0.43,Ex3d
PTPRO,0.00,0.00,0.51,0.49,0.23,Ex3d
CELF2,0.00,0.00,0.39,0.81,0.54,Ex3d
OSBP2,0.00,0.00,0.48,0.51,0.26,Ex3d
LMO3,0.00,0.00,0.60,0.36,0.15,Ex3d
SPOCK1,0.00,0.00,0.33,0.64,0.38,Ex3d
ITPR2,0.00,0.00,0.42,0.41,0.19,Ex3d
CEMIP,0.00,0.00,0.70,0.26,0.08,Ex3d
ATP1B1,0.00,0.00,0.40,0.67,0.40,Ex3d
SCN1A,0.00,0.00,0.54,0.55,0.30,Ex3d
CACNB4,0.00,0.00,0.43,0.61,0.36,Ex3d
PGK1,0.00,0.00,0.48,0.32,0.12,Ex3d
PDP1,0.00,0.00,0.56,0.35,0.14,Ex3d
FGF12,0.00,0.00,0.34,0.81,0.59,Ex3d
FBXW7,0.00,0.00,0.45,0.61,0.34,Ex3d
FSTL4,0.00,0.00,0.37,0.52,0.27,Ex3d
RCAN2,0.00,0.00,0.49,0.52,0.28,Ex3d
SNAP25,0.00,0.00,0.33,0.81,0.58,Ex3d
CACNA1A,0.00,0.00,0.39,0.71,0.47,Ex3d
FAT3,0.00,0.00,0.42,0.46,0.23,Ex3d
NAP1L1,0.00,0.00,0.43,0.47,0.24,Ex3d
PTEN,0.00,0.00,0.55,0.38,0.16,Ex3d
PBX1,0.00,0.00,0.40,0.53,0.30,Ex3d
KIAA1109,0.00,0.00,0.41,0.54,0.30,Ex3d
HIVEP2,0.00,0.00,0.58,0.54,0.30,Ex3d
ARPP21,0.00,0.00,0.40,0.69,0.43,Ex3d
PLCXD3,0.00,0.00,0.51,0.31,0.12,Ex3d
CNKSR2,0.00,0.00,0.49,0.61,0.36,Ex3d
GABRD,0.00,0.00,0.53,0.32,0.13,Ex3d
KALRN,0.00,0.00,0.36,0.76,0.51,Ex3d
KIF5C,0.00,0.00,0.40,0.66,0.41,Ex3d
HSP90AB1,0.00,0.00,0.42,0.68,0.43,Ex3d
NTRK2,0.00,0.00,0.37,0.72,0.47,Ex3d
CLCN4,0.00,0.00,0.51,0.26,0.09,Ex3d
SRRM3,0.00,0.00,0.56,0.51,0.27,Ex3d
TTC39C,0.00,0.00,0.48,0.27,0.10,Ex3d
MDGA2,0.00,0.00,0.36,0.77,0.52,Ex3d
NR2F1-AS1,0.00,0.00,0.42,0.45,0.24,Ex3d
KCNMB4,0.00,0.00,0.39,0.28,0.11,Ex3d
MAPK10,0.00,0.00,0.47,0.75,0.53,Ex3d
CAMK2B,0.00,0.00,0.42,0.56,0.33,Ex3d
ARID1B,0.00,0.00,0.34,0.51,0.29,Ex3d
PDE10A,0.00,0.00,0.37,0.64,0.39,Ex3d
PPA2,0.00,0.00,0.25,0.29,0.14,Ex3d
SCAI,0.00,0.00,0.50,0.41,0.20,Ex3d
TMOD2,0.00,0.00,0.51,0.41,0.20,Ex3d
SLIT2,0.00,0.00,0.53,0.42,0.20,Ex3d
SATB2,0.00,0.00,0.54,0.34,0.16,Ex3d
MED13L,0.00,0.00,0.27,0.45,0.26,Ex3d
AC067956.1,0.00,0.00,0.67,0.26,0.09,Ex3d
SSBP2,0.00,0.00,0.35,0.48,0.27,Ex3d
EIF4A2,0.00,0.00,0.50,0.45,0.24,Ex3d
ATXN1,0.00,0.00,0.33,0.61,0.38,Ex3d
RAP1GDS1,0.00,0.00,0.40,0.37,0.19,Ex3d
MAP1A,0.00,0.00,0.29,0.43,0.24,Ex3d
PREPL,0.00,0.00,0.36,0.56,0.35,Ex3d
KCNA2,0.00,0.00,0.38,0.25,0.11,Ex3d
ADRBK2,0.00,0.00,0.33,0.35,0.18,Ex3d
HSPH1,0.00,0.00,0.48,0.42,0.22,Ex3d
AUTS2,0.00,0.00,0.31,0.76,0.54,Ex3d
RBFOX2,0.00,0.00,0.43,0.59,0.37,Ex3d
GLCCI1,0.00,0.00,0.49,0.44,0.23,Ex3d
C8orf34,0.00,0.00,0.31,0.32,0.16,Ex3d
SSX2IP,0.00,0.00,0.33,0.31,0.15,Ex3d
ATP1B3,0.00,0.00,0.35,0.31,0.14,Ex3d
ELL2,0.00,0.00,0.41,0.30,0.14,Ex3d
PTPRN2,0.00,0.00,0.43,0.57,0.35,Ex3d
HDAC9,0.00,0.00,0.38,0.52,0.31,Ex3d
GAPDH,0.00,0.00,0.49,0.50,0.28,Ex3d
C16orf45,0.00,0.00,0.37,0.41,0.22,Ex3d
ATP1A1,0.00,0.00,0.36,0.45,0.26,Ex3d
CLEC16A,0.00,0.00,0.44,0.31,0.14,Ex3d
UBL3,0.00,0.00,0.40,0.28,0.12,Ex3d
CTTNBP2,0.00,0.00,0.29,0.38,0.21,Ex3d
INA,0.00,0.00,0.45,0.26,0.10,Ex3d
GRAMD1B,0.00,0.00,0.37,0.35,0.17,Ex3d
NEFM,0.00,0.00,0.34,0.31,0.15,Ex3d
GABRG2,0.00,0.00,0.36,0.38,0.21,Ex3d
TCEAL2,0.00,0.00,0.26,0.30,0.16,Ex3d
HECW1,0.00,0.00,0.39,0.56,0.35,Ex3d
FOXP1,0.00,0.00,0.36,0.48,0.28,Ex3d
DAPK1,0.00,0.00,0.28,0.27,0.13,Ex3d
PTK2B,0.00,0.00,0.44,0.32,0.15,Ex3d
NPTN,0.00,0.00,0.28,0.50,0.31,Ex3d
STXBP1,0.00,0.00,0.26,0.56,0.37,Ex3d
FRY,0.00,0.00,0.38,0.44,0.24,Ex3d
KIAA1456,0.00,0.00,0.35,0.31,0.15,Ex3d
BICD1,0.00,0.00,0.34,0.48,0.29,Ex3d
EIF1,0.00,0.00,0.34,0.33,0.16,Ex3d
RGS4,0.00,0.00,0.36,0.31,0.15,Ex3d
CABP1,0.00,0.00,0.30,0.39,0.22,Ex3d
TSC22D1,0.00,0.00,0.32,0.48,0.29,Ex3d
C16orf52,0.00,0.00,0.42,0.33,0.16,Ex3d
SYT7,0.00,0.00,0.48,0.28,0.13,Ex3d
AIG1,0.00,0.00,0.32,0.42,0.24,Ex3d
MGST3,0.00,0.00,0.44,0.26,0.11,Ex3d
BAALC,0.00,0.00,0.47,0.29,0.14,Ex3d
NDUFA4,0.00,0.00,0.52,0.34,0.17,Ex3d
SPAG16,0.00,0.00,0.39,0.34,0.18,Ex3d
STOX2,0.00,0.00,0.28,0.42,0.25,Ex3d
WDFY3,0.00,0.00,0.28,0.42,0.25,Ex3d
ARHGAP44,0.00,0.00,0.46,0.40,0.22,Ex3d
HCN1,0.00,0.00,0.33,0.59,0.39,Ex3d
GRM5,0.00,0.00,0.32,0.62,0.43,Ex3d
NSF,0.00,0.00,0.38,0.42,0.24,Ex3d
STMN4,0.00,0.00,0.37,0.26,0.12,Ex3d
PTPRR,0.00,0.00,0.37,0.42,0.24,Ex3d
GABARAPL1,0.00,0.00,0.41,0.28,0.13,Ex3d
AC114765.1,0.00,0.00,0.62,0.26,0.11,Ex3d
NDUFS1,0.00,0.00,0.27,0.28,0.15,Ex3d
CSRNP3,0.00,0.00,0.43,0.44,0.27,Ex3d
NDRG4,0.00,0.00,0.40,0.44,0.28,Ex3d
SIK2,0.00,0.00,0.46,0.33,0.17,Ex3d
MARK1,0.00,0.00,0.33,0.37,0.21,Ex3d
MAP3K13,0.00,0.00,0.40,0.37,0.21,Ex3d
NUAK1,0.00,0.00,0.43,0.35,0.19,Ex3d
MYO5A,0.00,0.00,0.33,0.54,0.36,Ex3d
SYP,0.00,0.00,0.30,0.42,0.25,Ex3d
ZMAT4,0.00,0.00,0.43,0.39,0.22,Ex3d
OSBPL3,0.00,0.00,0.36,0.27,0.13,Ex3d
TENM4,0.00,0.00,0.37,0.45,0.27,Ex3d
ZNF91,0.00,0.00,0.34,0.35,0.19,Ex3d
FOCAD,0.00,0.00,0.31,0.40,0.25,Ex3d
RAC1,0.00,0.00,0.37,0.26,0.12,Ex3d
YWHAB,0.00,0.00,0.29,0.49,0.31,Ex3d
RASGRF1,0.00,0.00,0.38,0.31,0.16,Ex3d
ITM2B,0.00,0.00,0.34,0.38,0.22,Ex3d
SNRPN,0.00,0.00,0.49,0.32,0.16,Ex3d
SLC4A10,0.00,0.00,0.26,0.60,0.41,Ex3d
CTSB,0.00,0.00,0.39,0.30,0.15,Ex3d
NRSN1,0.00,0.00,0.36,0.25,0.12,Ex3d
STMN1,0.00,0.00,0.37,0.37,0.21,Ex3d
MICAL2,0.00,0.00,0.30,0.41,0.25,Ex3d
SPOCK2,0.00,0.00,0.25,0.26,0.14,Ex3d
FAM13B,0.00,0.00,0.41,0.35,0.19,Ex3d
SLC17A7,0.00,0.00,0.37,0.39,0.23,Ex3d
YWHAH,0.00,0.00,0.32,0.37,0.21,Ex3d
VPS13D,0.00,0.00,0.35,0.34,0.18,Ex3d
SKP1,0.00,0.00,0.25,0.28,0.15,Ex3d
TPI1,0.00,0.00,0.30,0.28,0.15,Ex3d
DGKI,0.00,0.00,0.35,0.51,0.33,Ex3d
ELMOD1,0.00,0.00,0.29,0.31,0.18,Ex3d
FHOD3,0.00,0.00,0.32,0.30,0.16,Ex3d
CADM3,0.00,0.00,0.28,0.27,0.15,Ex3d
ARHGAP26,0.00,0.00,0.30,0.50,0.33,Ex3d
RPLP1,0.00,0.00,0.35,0.27,0.14,Ex3d
ST8SIA1,0.00,0.00,0.36,0.27,0.14,Ex3d
GLRB,0.00,0.00,0.48,0.25,0.13,Ex3d
TAGLN3,0.00,0.00,0.40,0.28,0.14,Ex3d
RNF157,0.00,0.00,0.41,0.29,0.15,Ex3d
PDZRN3,0.00,0.00,0.32,0.31,0.17,Ex3d
MCF2L2,0.00,0.00,0.26,0.31,0.19,Ex3d
LMTK2,0.00,0.00,0.31,0.26,0.14,Ex3d
STRBP,0.00,0.00,0.28,0.43,0.28,Ex3d
TMEM131,0.00,0.00,0.27,0.27,0.15,Ex3d
FZD3,0.00,0.00,0.37,0.26,0.14,Ex3d
CSMD3,0.00,0.00,0.27,0.63,0.45,Ex3d
SLC23A2,0.00,0.00,0.30,0.28,0.15,Ex3d
EPHA5,0.00,0.00,0.39,0.28,0.15,Ex3d
CDC14B,0.00,0.00,0.27,0.26,0.14,Ex3d
SLC12A5,0.00,0.00,0.27,0.33,0.20,Ex3d
SULT4A1,0.00,0.00,0.36,0.31,0.17,Ex3d
YWHAG,0.00,0.00,0.29,0.45,0.30,Ex3d
PRKAR1B,0.00,0.00,0.25,0.28,0.16,Ex3d
MORF4L1,0.00,0.00,0.26,0.31,0.18,Ex3d
PRKAR1A,0.00,0.00,0.28,0.26,0.15,Ex3d
ANKRD17,0.00,0.00,0.25,0.45,0.31,Ex3d
OIP5-AS1,0.00,0.00,0.25,0.36,0.23,Ex3d
KLHL32,0.00,0.00,0.28,0.30,0.17,Ex3d
ARHGAP32,0.00,0.00,0.25,0.46,0.31,Ex3d
PLXNA4,0.00,0.00,0.39,0.36,0.23,Ex3d
ATP5B,0.00,0.00,0.28,0.29,0.17,Ex3d
ELAVL4,0.00,0.00,0.29,0.29,0.17,Ex3d
REEP5,0.00,0.00,0.30,0.29,0.17,Ex3d
KIFAP3,0.00,0.00,0.28,0.34,0.21,Ex3d
CACNA2D3,0.00,0.00,0.28,0.53,0.38,Ex3d
RPS14,0.00,0.00,0.33,0.28,0.16,Ex3d
AC005592.2,0.00,0.00,0.39,0.25,0.14,Ex3d
MYH10,0.00,0.00,0.28,0.40,0.27,Ex3d
KCNB1,0.00,0.00,0.29,0.33,0.21,Ex3d
GLS,0.00,0.00,0.26,0.36,0.25,Ex3d
NRGN,0.00,0.00,1.19,0.78,0.28,Ex3e
TUBA1B,0.00,0.00,1.23,0.66,0.24,Ex3e
UCHL1,0.00,0.00,1.17,0.66,0.27,Ex3e
OLFM1,0.00,0.00,1.04,0.76,0.34,Ex3e
NEFL,0.00,0.00,1.22,0.58,0.19,Ex3e
TMSB4X,0.00,0.00,1.13,0.57,0.17,Ex3e
TMSB10,0.00,0.00,1.18,0.55,0.16,Ex3e
CHN1,0.00,0.00,0.90,0.79,0.39,Ex3e
ENC1,0.00,0.00,1.02,0.65,0.24,Ex3e
CCK,0.00,0.00,1.10,0.58,0.20,Ex3e
CALM1,0.00,0.00,0.84,0.84,0.51,Ex3e
SLC17A7,0.00,0.00,1.08,0.60,0.23,Ex3e
ARPP19,0.00,0.00,1.08,0.56,0.20,Ex3e
RTN1,0.00,0.00,0.90,0.76,0.43,Ex3e
YWHAH,0.00,0.00,1.06,0.56,0.21,Ex3e
MAP1B,0.00,0.00,0.78,0.85,0.59,Ex3e
FTH1,0.00,0.00,0.93,0.59,0.21,Ex3e
SNAP25,0.00,0.00,0.69,0.88,0.58,Ex3e
CALM3,0.00,0.00,0.99,0.58,0.24,Ex3e
VSNL1,0.00,0.00,0.89,0.72,0.39,Ex3e
NEFM,0.00,0.00,1.25,0.45,0.15,Ex3e
LMO4,0.00,0.00,0.95,0.60,0.25,Ex3e
BEX1,0.00,0.00,0.89,0.60,0.25,Ex3e
TUBB2A,0.00,0.00,0.96,0.47,0.16,Ex3e
PRNP,0.00,0.00,0.87,0.66,0.34,Ex3e
GAPDH,0.00,0.00,0.89,0.61,0.28,Ex3e
TUBA1A,0.00,0.00,0.87,0.51,0.19,Ex3e
STMN1,0.00,0.00,0.95,0.52,0.21,Ex3e
NGFRAP1,0.00,0.00,0.83,0.60,0.27,Ex3e
HSP90AA1,0.00,0.00,0.67,0.83,0.56,Ex3e
ALDOA,0.00,0.00,0.89,0.47,0.19,Ex3e
SEPW1,0.00,0.00,0.87,0.51,0.21,Ex3e
RTN3,0.00,0.00,0.73,0.71,0.41,Ex3e
THY1,0.00,0.00,0.84,0.54,0.24,Ex3e
HSP90AB1,0.00,0.00,0.75,0.72,0.43,Ex3e
YWHAG,0.00,0.00,0.80,0.60,0.30,Ex3e
RGS4,0.00,0.00,0.84,0.43,0.15,Ex3e
DYNLL1,0.00,0.00,0.80,0.43,0.15,Ex3e
SPARCL1,0.00,0.00,0.59,0.77,0.44,Ex3e
ENO2,0.00,0.00,0.72,0.65,0.34,Ex3e
ACTG1,0.00,0.00,0.84,0.48,0.19,Ex3e
CREG2,0.00,0.00,0.83,0.51,0.22,Ex3e
NDUFA4,0.00,0.00,0.85,0.45,0.16,Ex3e
MTCH1,0.00,0.00,0.84,0.44,0.16,Ex3e
PEBP1,0.00,0.00,0.74,0.62,0.32,Ex3e
HSPA8,0.00,0.00,0.72,0.33,0.09,Ex3e
UBB,0.00,0.00,0.87,0.36,0.11,Ex3e
CLSTN1,0.00,0.00,0.74,0.63,0.34,Ex3e
EIF4A2,0.00,0.00,0.72,0.53,0.23,Ex3e
PPIA,0.00,0.00,0.72,0.34,0.10,Ex3e
RAB6B,0.00,0.00,0.87,0.39,0.16,Ex3e
SCN3B,0.00,0.00,0.83,0.37,0.13,Ex3e
SYT1,0.00,0.00,0.39,0.95,0.77,Ex3e
BASP1,0.00,0.00,0.76,0.55,0.27,Ex3e
YWHAB,0.00,0.00,0.71,0.60,0.31,Ex3e
NAPB,0.00,0.00,0.76,0.42,0.16,Ex3e
CRYM,0.00,0.00,0.73,0.27,0.07,Ex3e
YWHAZ,0.00,0.00,0.76,0.40,0.15,Ex3e
TUBA4A,0.00,0.00,0.75,0.30,0.09,Ex3e
TPI1,0.00,0.00,0.76,0.39,0.15,Ex3e
LINC00657,0.00,0.00,0.78,0.49,0.24,Ex3e
NDRG4,0.00,0.00,0.71,0.55,0.28,Ex3e
STMN2,0.00,0.00,0.68,0.51,0.25,Ex3e
KLC1,0.00,0.00,0.71,0.49,0.22,Ex3e
TAGLN3,0.00,0.00,0.78,0.37,0.14,Ex3e
MDH1,0.00,0.00,0.75,0.36,0.13,Ex3e
GNAS,0.00,0.00,0.66,0.62,0.35,Ex3e
ATP6V1B2,0.00,0.00,0.83,0.37,0.15,Ex3e
REEP5,0.00,0.00,0.73,0.40,0.17,Ex3e
HINT1,0.00,0.00,0.73,0.33,0.11,Ex3e
SERPINI1,0.00,0.00,0.64,0.48,0.22,Ex3e
CLU,0.00,0.00,0.66,0.53,0.27,Ex3e
RTN4,0.00,0.00,0.53,0.74,0.51,Ex3e
TCEB2,0.00,0.00,0.66,0.29,0.09,Ex3e
GDA,0.00,0.00,0.73,0.28,0.09,Ex3e
CFL1,0.00,0.00,0.63,0.39,0.16,Ex3e
BEX2,0.00,0.00,0.66,0.37,0.15,Ex3e
TMEM59L,0.00,0.00,0.70,0.47,0.24,Ex3e
CHGA,0.00,0.00,0.73,0.33,0.12,Ex3e
UBC,0.00,0.00,0.65,0.35,0.13,Ex3e
TSPYL1,0.00,0.00,0.72,0.44,0.22,Ex3e
ATP6V1E1,0.00,0.00,0.61,0.30,0.10,Ex3e
SLIT1,0.00,0.00,0.59,0.31,0.11,Ex3e
GAP43,0.00,0.00,0.65,0.45,0.21,Ex3e
PSAP,0.00,0.00,0.62,0.58,0.32,Ex3e
GHITM,0.00,0.00,0.63,0.27,0.08,Ex3e
GABARAPL1,0.00,0.00,0.74,0.32,0.13,Ex3e
ARF1,0.00,0.00,0.64,0.33,0.12,Ex3e
SNCA,0.00,0.00,0.60,0.44,0.20,Ex3e
SARAF,0.00,0.00,0.62,0.46,0.22,Ex3e
SRP14,0.00,0.00,0.61,0.30,0.11,Ex3e
SV2B,0.00,0.00,0.45,0.51,0.26,Ex3e
IDS,0.00,0.00,0.57,0.48,0.24,Ex3e
CAMKV,0.00,0.00,0.66,0.38,0.16,Ex3e
TOLLIP,0.00,0.00,0.65,0.31,0.11,Ex3e
